time,T2M,RH2M,WS10M,PS,ALLSKY_SFC_SW_DWN
2019010100,9.13,25.49,3.3,98.32,0.0
2019010101,8.44,27.7,3.33,98.29,0.0
2019010102,7.85,29.56,3.33,98.27,0.0
2019010103,7.38,31.13,3.25,98.24,0.0
2019010104,7.01,32.09,3.11,98.24,0.0
2019010105,6.6,33.18,3.13,98.26,0.0
2019010106,6.13,33.95,3.33,98.3,0.0
2019010107,7.7,30.04,3.26,98.35,46.9
2019010108,12.37,21.33,4.39,98.42,202.77
2019010109,15.55,16.91,2.89,98.46,383.12
2019010110,20.2,12.01,1.65,98.43,551.8
2019010111,23.79,8.3,1.71,98.3,632.97
2019010112,24.94,7.44,1.93,98.18,672.97
2019010113,25.43,7.12,1.86,98.07,629.9
2019010114,25.39,7.18,1.67,98.0,505.25
2019010115,24.75,7.41,1.53,97.97,328.77
2019010116,22.19,9.88,1.25,97.99,127.43
2019010117,19.85,10.6,1.53,98.04,5.03
2019010118,18.66,11.42,1.65,98.09,0.0
2019010119,17.75,12.25,1.64,98.12,0.0
2019010120,17.07,12.95,1.49,98.13,0.0
2019010121,16.52,13.49,1.27,98.12,0.0
2019010122,15.82,14.28,1.1,98.11,0.0
2019010123,15.2,15.05,1.12,98.1,0.0
2019010200,14.53,15.9,1.21,98.12,0.0
2019010201,13.84,16.73,1.36,98.12,0.0
2019010202,13.04,17.94,1.57,98.1,0.0
2019010203,12.43,18.99,1.73,98.07,0.0
2019010204,11.97,20.02,1.85,98.07,0.0
2019010205,11.61,20.86,1.92,98.1,0.0
2019010206,11.47,21.41,1.88,98.16,0.0
2019010207,12.04,21.09,1.77,98.26,48.25
2019010208,15.0,18.33,1.8,98.36,212.88
2019010209,17.69,15.3,1.74,98.43,405.35
2019010210,21.94,15.16,2.45,98.39,591.42
2019010211,24.75,17.17,3.09,98.28,673.72
2019010212,25.77,16.23,3.32,98.18,704.85
2019010213,26.14,15.22,3.48,98.1,645.67
2019010214,25.91,14.77,3.52,98.07,516.92
2019010215,25.0,15.15,3.54,98.09,334.08
2019010216,21.4,19.33,2.56,98.16,128.07
2019010217,17.08,25.32,3.1,98.23,5.4
2019010218,15.54,28.32,3.35,98.31,0.0
2019010219,14.43,30.91,3.4,98.37,0.0
2019010220,13.51,33.12,3.33,98.38,0.0
2019010221,12.72,34.87,3.26,98.35,0.0
2019010222,11.88,36.5,3.15,98.33,0.0
2019010223,11.13,38.0,3.08,98.33,0.0
2019010300,10.49,39.17,2.94,98.36,0.0
2019010301,9.85,40.77,2.9,98.38,0.0
2019010302,9.06,42.86,3.03,98.38,0.0
2019010303,8.36,44.78,3.16,98.36,0.0
2019010304,7.83,46.43,3.26,98.38,0.0
2019010305,7.41,47.65,3.35,98.42,0.0
2019010306,7.06,48.52,3.4,98.46,0.0
2019010307,8.48,43.93,3.02,98.53,57.83
2019010308,12.51,33.49,3.78,98.62,236.35
2019010309,15.6,27.33,2.67,98.67,422.65
2019010310,20.03,20.33,2.05,98.65,575.95
2019010311,22.75,16.05,1.48,98.54,657.53
2019010312,23.9,13.57,0.93,98.43,681.35
2019010313,24.49,12.01,0.77,98.33,634.47
2019010314,24.44,11.58,1.2,98.27,507.62
2019010315,23.76,12.22,1.74,98.25,322.23
2019010316,20.91,15.62,1.7,98.25,119.57
2019010317,17.59,19.05,2.33,98.27,5.3
2019010318,15.63,21.86,2.8,98.32,0.0
2019010319,14.24,24.4,3.1,98.36,0.0
2019010320,13.16,26.71,3.3,98.39,0.0
2019010321,13.03,27.56,3.31,98.38,0.0
2019010322,12.95,28.43,3.23,98.32,0.0
2019010323,12.42,30.4,3.2,98.27,0.0
2019010400,11.79,32.71,3.24,98.27,0.0
2019010401,11.0,35.43,3.29,98.27,0.0
2019010402,10.52,37.44,3.26,98.24,0.0
2019010403,10.31,38.71,3.12,98.22,0.0
2019010404,9.8,40.84,3.03,98.24,0.0
2019010405,9.13,43.56,3.06,98.27,0.0
2019010406,8.97,44.87,3.09,98.31,0.0
2019010407,10.27,41.65,3.71,98.38,39.05
2019010408,12.31,36.74,4.15,98.46,141.75
2019010409,14.71,31.71,3.35,98.49,257.35
2019010410,18.96,22.9,3.35,98.43,336.73
2019010411,22.04,16.72,3.06,98.32,418.1
2019010412,23.16,14.6,2.67,98.2,525.38
2019010413,23.56,13.54,2.34,98.1,451.52
2019010414,23.38,13.29,1.92,98.02,337.5
2019010415,22.13,15.04,0.9,97.96,203.9
