time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190101:0030,0.0,0.0,0.0,0.0,0.0,7.89,1.93,0.0
20190101:0130,0.0,0.0,0.0,0.0,-5.67,7.47,2.07,0.0
20190101:0230,152.22,150.89,49.29,1.05,6.33,7.28,2.28,0.0
20190101:0330,393.96,374.65,95.92,3.62,17.44,9.37,1.45,0.0
20190101:0430,567.76,587.61,117.17,6.08,27.18,15.32,1.1,0.0
20190101:0530,673.46,744.43,128.7,7.94,34.8,19.72,1.03,0.0
20190101:0630,722.15,825.54,134.0,8.92,39.33,22.59,1.17,0.0
20190101:0730,720.67,818.57,139.54,8.95,39.91,24.36,1.59,0.0
20190101:0830,679.9,769.09,130.17,8.25,36.41,25.26,1.66,0.0
20190101:0930,576.24,631.88,120.03,6.61,29.55,25.74,1.52,0.0
20190101:1030,415.51,433.08,102.11,4.3,20.31,25.83,1.59,0.0
20190101:1130,196.22,200.86,65.82,1.69,9.52,25.43,1.52,0.0
20190101:1230,0.0,0.0,0.0,0.0,-2.26,24.12,1.45,0.0
20190101:1330,0.0,0.0,0.0,0.0,0.0,21.64,1.93,0.0
20190101:1430,0.0,0.0,0.0,0.0,0.0,19.16,2.21,0.0
20190101:1530,0.0,0.0,0.0,0.0,0.0,17.23,2.41,0.0
20190101:1630,0.0,0.0,0.0,0.0,0.0,15.8,2.41,0.0
20190101:1730,0.0,0.0,0.0,0.0,0.0,14.63,2.34,0.0
20190101:1830,0.0,0.0,0.0,0.0,0.0,13.58,2.14,0.0
20190101:1930,0.0,0.0,0.0,0.0,0.0,12.63,2.0,0.0
20190101:2030,0.0,0.0,0.0,0.0,0.0,11.79,1.93,0.0
20190101:2130,0.0,0.0,0.0,0.0,0.0,11.43,1.59,0.0
20190101:2230,0.0,0.0,0.0,0.0,0.0,11.16,1.52,0.0
20190101:2330,0.0,0.0,0.0,0.0,0.0,10.27,1.66,0.0
20190102:0030,0.0,0.0,0.0,0.0,0.0,9.29,1.86,0.0
20190102:0130,0.0,0.0,0.0,0.0,-5.72,8.81,1.93,0.0
20190102:0230,148.26,148.52,48.53,1.04,6.29,8.65,1.79,0.0
20190102:0330,386.1,372.1,95.65,3.61,17.42,11.38,0.97,0.0
20190102:0430,562.42,586.83,117.21,6.08,27.18,16.16,0.83,0.0
20190102:0530,677.82,745.5,129.13,7.96,34.83,20.26,1.45,0.0
20190102:0630,743.4,834.68,134.97,9.02,39.39,22.38,2.21,0.0
20190102:0730,746.39,846.46,135.6,9.16,40.0,23.55,2.14,0.0
20190102:0830,698.12,779.7,131.16,8.36,36.53,24.4,2.34,0.0
20190102:0930,593.7,640.36,120.9,6.71,29.68,24.88,2.62,0.0
20190102:1030,427.42,439.48,103.02,4.37,20.45,24.89,2.76,0.0
20190102:1130,202.88,205.16,67.15,1.74,9.66,24.34,2.69,0.0
20190102:1230,0.0,0.0,0.0,0.0,-2.13,22.62,2.21,0.0
20190102:1330,0.0,0.0,0.0,0.0,0.0,19.91,2.76,0.0
20190102:1430,0.0,0.0,0.0,0.0,0.0,17.77,2.69,0.0
20190102:1530,0.0,0.0,0.0,0.0,0.0,16.34,2.69,0.0
20190102:1630,0.0,0.0,0.0,0.0,0.0,15.22,2.76,0.0
20190102:1730,0.0,0.0,0.0,0.0,0.0,14.27,2.76,0.0
20190102:1830,0.0,0.0,0.0,0.0,0.0,13.42,2.76,0.0
20190102:1930,0.0,0.0,0.0,0.0,0.0,12.62,2.55,0.0
20190102:2030,0.0,0.0,0.0,0.0,0.0,11.92,2.62,0.0
20190102:2130,0.0,0.0,0.0,0.0,0.0,11.28,2.55,0.0
20190102:2230,0.0,0.0,0.0,0.0,0.0,10.68,2.55,0.0
20190102:2330,0.0,0.0,0.0,0.0,0.0,10.16,2.55,0.0
20190103:0030,0.0,0.0,0.0,0.0,0.0,9.74,2.48,0.0
20190103:0130,0.0,0.0,0.0,0.0,0.0,9.42,2.34,0.0
20190103:0230,128.08,120.2,52.21,0.98,6.25,9.18,2.14,0.0
20190103:0330,364.05,324.71,111.45,3.46,17.4,10.17,1.52,0.0
20190103:0430,569.12,583.72,117.11,6.07,27.19,15.16,1.59,0.0
20190103:0530,685.43,741.89,129.46,7.94,34.87,18.94,1.93,0.0
20190103:0630,744.46,832.6,135.02,9.02,39.46,21.29,2.07,0.0
20190103:0730,740.03,844.91,135.32,9.16,40.11,22.17,1.38,0.0
20190103:0830,689.25,778.32,130.57,8.36,36.66,23.14,1.31,0.0
20190103:0930,589.89,638.53,120.36,6.7,29.82,23.73,1.86,0.0
20190103:1030,426.39,438.22,102.39,4.37,20.59,23.7,2.14,0.0
20190103:1130,203.64,205.13,66.67,1.75,9.79,23.16,2.48,0.0
20190103:1230,0.0,0.0,0.0,0.0,-2.0,21.42,2.28,0.0
20190103:1330,0.0,0.0,0.0,0.0,0.0,18.67,2.76,0.0
20190103:1430,0.0,0.0,0.0,0.0,0.0,16.81,2.69,0.0
20190103:1530,0.0,0.0,0.0,0.0,0.0,15.57,2.62,0.0
20190103:1630,0.0,0.0,0.0,0.0,0.0,14.49,2.62,0.0
20190103:1730,0.0,0.0,0.0,0.0,0.0,13.59,2.62,0.0
20190103:1830,0.0,0.0,0.0,0.0,0.0,12.78,2.69,0.0
20190103:1930,0.0,0.0,0.0,0.0,0.0,12.26,2.55,0.0
20190103:2030,0.0,0.0,0.0,0.0,0.0,11.57,2.48,0.0
20190103:2130,0.0,0.0,0.0,0.0,0.0,10.93,2.41,0.0
20190103:2230,0.0,0.0,0.0,0.0,0.0,10.38,2.41,0.0
20190103:2330,0.0,0.0,0.0,0.0,0.0,9.98,2.41,0.0
20190104:0030,0.0,0.0,0.0,0.0,0.0,9.66,2.41,0.0
20190104:0130,0.0,0.0,0.0,0.0,0.0,9.37,2.41,0.0
20190104:0230,142.51,144.08,46.51,1.0,6.22,9.1,2.41,0.0
20190104:0330,376.93,352.92,98.2,3.51,17.39,10.71,2.0,0.0
20190104:0430,553.53,542.95,133.35,5.92,27.2,15.47,2.21,0.0
20190104:0530,662.04,669.8,165.01,7.71,34.91,19.38,2.41,0.0
20190104:0630,647.61,575.61,252.49,8.1,39.54,22.11,2.48,0.0
20190104:0730,675.7,626.43,247.11,8.48,40.22,23.27,2.48,0.0
20190104:0830,561.12,441.9,280.57,7.24,36.79,24.49,2.07,0.0
20190104:0930,410.92,276.67,248.43,5.37,29.96,25.07,1.66,0.0
20190104:1030,207.26,100.27,169.61,2.96,20.73,25.19,1.59,0.0
20190104:1130,58.26,20.65,68.68,1.05,9.94,24.83,1.24,0.0
20190104:1230,0.0,0.0,0.0,0.0,-1.86,23.72,0.41,0.0
20190104:1330,0.0,0.0,0.0,0.0,0.0,22.13,0.07,0.0
20190104:1430,0.0,0.0,0.0,0.0,0.0,20.6,0.21,0.0
20190104:1530,0.0,0.0,0.0,0.0,0.0,19.14,0.48,0.0
20190104:1630,0.0,0.0,0.0,0.0,0.0,17.83,0.55,0.0
20190104:1730,0.0,0.0,0.0,0.0,0.0,15.86,1.03,0.0
20190104:1830,0.0,0.0,0.0,0.0,0.0,12.83,1.86,0.0
20190104:1930,0.0,0.0,0.0,0.0,0.0,11.99,2.07,0.0
20190104:2030,0.0,0.0,0.0,0.0,0.0,11.64,2.41,0.0
20190104:2130,0.0,0.0,0.0,0.0,0.0,11.46,2.48,0.0
20190104:2230,0.0,0.0,0.0,0.0,0.0,11.27,2.48,0.0
20190104:2330,0.0,0.0,0.0,0.0,0.0,10.95,2.34,0.0
20190105:0030,0.0,0.0,0.0,0.0,0.0,10.55,2.34,0.0
