time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,10.17,55.06,0.0,0.0,0.0,262.28,2.83,31.0,98041.0
20140101:0100,10.0,56.34,0.0,0.0,0.0,259.77,2.9,33.0,98070.0
20140101:0200,9.83,57.62,30.7,0.0,30.7,257.25,2.97,34.0,98166.0
20140101:0300,9.66,58.9,278.65,1004.58,69.4,254.74,3.05,35.0,98262.0
20140101:0400,9.49,60.18,467.8,991.33,88.05,252.23,3.12,39.0,98291.0
20140101:0500,9.32,61.46,610.45,983.79,99.15,249.71,3.19,40.0,98310.0
20140101:0600,9.16,62.74,690.55,962.15,104.65,247.2,3.27,43.0,98262.0
20140101:0700,8.99,64.02,700.5,923.83,104.95,244.69,3.34,34.0,98166.0
20140101:0800,15.84,34.6,639.8,863.85,100.4,267.2,3.66,30.0,98041.0
20140101:0900,16.46,32.1,513.5,768.82,90.95,269.0,4.14,27.0,97946.0
20140101:1000,16.53,31.15,335.25,612.46,74.75,269.4,4.48,26.0,97878.0
20140101:1100,15.98,31.7,133.3,338.77,45.2,268.2,4.48,27.0,97869.0
20140101:1200,14.39,36.25,5.65,28.44,3.8,265.4,3.38,27.0,97888.0
20140101:1300,11.96,42.3,0.0,0.0,0.0,260.8,3.1,27.0,97898.0
20140101:1400,10.51,46.55,0.0,0.0,0.0,256.4,2.97,29.0,97984.0
20140101:1500,9.36,50.35,0.0,0.0,0.0,253.0,2.97,29.0,98051.0
20140101:1600,8.43,53.85,0.0,0.0,0.0,250.8,2.97,28.0,98099.0
20140101:1700,7.68,57.15,0.0,0.0,0.0,249.0,2.97,28.0,98118.0
20140101:1800,7.0,60.4,0.0,0.0,0.0,247.6,2.97,28.0,98109.0
20140101:1900,6.65,64.2,0.0,0.0,0.0,247.4,2.83,32.0,98099.0
20140101:2000,6.06,67.8,0.0,0.0,0.0,246.0,2.76,34.0,98080.0
20140101:2100,5.46,71.8,0.0,0.0,0.0,244.4,2.69,36.0,98032.0
20140101:2200,4.9,75.8,0.0,0.0,0.0,242.6,2.62,35.0,98013.0
20140101:2300,4.43,79.5,0.0,0.0,0.0,241.0,2.69,34.0,98003.0
20140102:0000,4.08,82.65,0.0,0.0,0.0,239.4,2.69,35.0,97984.0
20140102:0100,3.71,85.95,0.0,0.0,0.0,238.4,2.62,39.0,98032.0
20140102:0200,3.28,88.95,30.5,0.0,30.5,237.0,2.41,43.0,98099.0
20140102:0300,4.53,84.9,280.4,1017.1,69.1,237.8,1.86,47.0,98214.0
20140102:0400,8.97,66.45,472.4,1004.25,87.9,243.0,2.28,51.0,98281.0
20140102:0500,11.86,55.4,615.85,995.41,98.3,250.4,2.97,52.0,98281.0
