datetime,P,G_i,Gb_i,Gd_i,Gr_i,H_sun,T2m,WS10m,RH,SP,WD10m,data_quality,hour,hour_sin,hour_cos,month,month_sin,month_cos,day_of_year,doy_sin,doy_cos,is_daytime,is_peak_hours
2019-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,7.89,1.93,25.49,98320.0,31.0,0,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,0,0
2019-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-5.67,7.47,2.07,27.7,98290.0,33.0,0,1,0.25881904510252074,0.9659258262890683,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,0,0
2019-01-01 02:00:00+00:00,152.22,201.23,150.89,49.29,1.05,6.33,7.28,2.28,29.56,98270.0,34.0,0,2,0.49999999999999994,0.8660254037844387,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,0
2019-01-01 03:00:00+00:00,393.96,474.19,374.65,95.92,3.62,17.44,9.37,1.45,31.13,98240.0,35.0,0,3,0.7071067811865475,0.7071067811865476,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,0
2019-01-01 04:00:00+00:00,567.76,710.86,587.61,117.17,6.08,27.18,15.32,1.1,32.09,98240.0,39.0,0,4,0.8660254037844386,0.5000000000000001,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,0
2019-01-01 05:00:00+00:00,673.46,881.0699999999999,744.43,128.7,7.94,34.8,19.72,1.03,33.18,98260.0,40.0,0,5,0.9659258262890683,0.25881904510252074,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,1
2019-01-01 06:00:00+00:00,722.15,968.46,825.54,134.0,8.92,39.33,22.59,1.17,33.95,98300.0,43.0,0,6,1.0,6.123233995736766e-17,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,1
2019-01-01 07:00:00+00:00,720.67,967.06,818.57,139.54,8.95,39.91,24.36,1.59,30.04,98350.0,34.0,0,7,0.9659258262890683,-0.25881904510252063,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,1
2019-01-01 08:00:00+00:00,679.9,907.51,769.09,130.17,8.25,36.41,25.26,1.66,21.33,98420.0,30.0,0,8,0.8660254037844387,-0.49999999999999983,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,1
2019-01-01 09:00:00+00:00,576.24,758.52,631.88,120.03,6.61,29.55,25.74,1.52,16.91,98460.0,27.0,0,9,0.7071067811865476,-0.7071067811865475,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,1
2019-01-01 10:00:00+00:00,415.51,539.4899999999999,433.08,102.11,4.3,20.31,25.83,1.59,12.01,98430.0,26.0,0,10,0.49999999999999994,-0.8660254037844387,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,0
2019-01-01 11:00:00+00:00,196.22,268.37,200.86,65.82,1.69,9.52,25.43,1.52,8.3,98300.0,27.0,0,11,0.258819045102521,-0.9659258262890682,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,1,0
2019-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-2.26,24.12,1.45,7.44,98180.0,27.0,0,12,1.2246467991473532e-16,-1.0,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,0,0
2019-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,21.64,1.93,7.12,98070.0,27.0,0,13,-0.2588190451025208,-0.9659258262890683,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,0,0
2019-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,19.16,2.21,7.18,98000.0,29.0,0,14,-0.4999999999999998,-0.8660254037844388,1,0.49999999999999994,0.8660254037844387,1,0.017213356155834685,0.9998518392091162,0,0
