Datetime,generation,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,season,sunheight,generation_lag_1,generation_lag_2,generation_lag_3,temp_lag_1,temp_lag_2,temp_lag_3,humidity_lag_1,humidity_lag_2,humidity_lag_3,solarradiation_lag_1,solarradiation_lag_2,solarradiation_lag_3,cloudcover_lag_1,cloudcover_lag_2,cloudcover_lag_3
2022-06-22 08:00:00,8.0,12.3,12.3,9.3,81.91,0.0,0.0,0.0,0.0,50.8,27.4,303.6,1008.0,100.0,24.1,19,0.1,0,10,Overcast,cloudy,Summer,51.357737389816535,8.0,1.0,0.0,12.0,11.5,11.9,81.32,86.35,80.76,7.0,1.0,0.0,91.1,91.1,100.0
2022-06-22 09:00:00,127.0,13.9,13.9,9.7,76.01,0.555,100.0,0.0,0.0,54.0,14.4,311.0,1009.4,91.1,15.5,23,0.1,0,10,"Rain, Overcast",rain,Summer,58.62383581841659,8.0,8.0,1.0,12.3,12.0,11.5,81.91,81.32,86.35,19.0,7.0,1.0,100.0,91.1,91.1
2022-06-22 10:00:00,293.0,14.3,14.3,10.2,76.37,0.0,0.0,0.0,0.0,53.6,25.9,316.4,1009.0,94.5,24.1,28,0.1,0,10,Overcast,cloudy,Summer,62.766268430264034,127.0,8.0,8.0,13.9,12.3,12.0,76.01,81.91,81.32,23.0,19.0,7.0,91.1,100.0,91.1
2022-06-22 11:00:00,622.0,16.0,16.0,9.9,67.1,0.0,0.0,0.0,0.0,50.4,25.6,322.1,1009.0,85.0,24.1,52,0.2,1,10,Partially cloudy,partly-cloudy-day,Summer,62.22542827517174,293.0,127.0,8.0,14.3,13.9,12.3,76.37,76.01,81.91,28.0,23.0,19.0,94.5,91.1,100.0
2022-06-22 12:00:00,642.0,18.5,18.5,10.4,59.08,0.0,0.0,0.0,0.0,56.9,19.6,304.0,1009.4,60.0,15.5,562,2.0,6,10,Partially cloudy,partly-cloudy-day,Summer,57.244422237582754,622.0,293.0,127.0,16.0,14.3,13.9,67.1,76.37,76.01,52.0,28.0,23.0,85.0,94.5,91.1
2022-06-22 13:00:00,563.0,18.9,18.9,10.4,57.77,0.0,0.0,0.0,0.0,56.2,27.0,317.3,1009.0,53.2,17.3,877,3.2,9,10,Partially cloudy,partly-cloudy-day,Summer,49.528298794059616,642.0,622.0,293.0,18.5,16.0,14.3,59.08,67.1,76.37,562.0,52.0,28.0,60.0,85.0,94.5
2022-06-22 14:00:00,508.0,20.2,20.2,9.9,51.54,0.0,0.0,0.0,0.0,50.8,26.6,323.5,1009.0,74.1,24.1,459,1.7,5,10,Partially cloudy,partly-cloudy-day,Summer,40.50218084728278,563.0,642.0,622.0,18.9,18.5,16.0,57.77,59.08,67.1,877.0,562.0,52.0,53.2,60.0,85.0
2022-06-22 15:00:00,438.0,21.1,21.1,9.3,46.97,0.0,0.0,0.0,0.0,52.6,19.6,326.0,1009.5,71.1,32.2,766,2.8,8,10,Partially cloudy,partly-cloudy-day,Summer,30.9852344772072,508.0,563.0,642.0,20.2,18.9,18.5,51.54,57.77,59.08,459.0,877.0,562.0,74.1,53.2,60.0
2022-06-22 16:00:00,289.0,20.9,20.9,8.7,45.53,0.0,0.0,0.0,0.0,50.8,26.3,322.2,1010.0,82.1,22.3,475,1.7,5,10,Partially cloudy,partly-cloudy-day,Summer,21.464340078395736,438.0,508.0,563.0,21.1,20.2,18.9,46.97,51.54,57.77,766.0,459.0,877.0,71.1,74.1,53.2
2022-06-22 17:00:00,309.0,20.9,20.9,8.0,43.42,0.0,0.0,0.0,0.0,48.2,23.8,327.7,1009.0,77.7,23.5,458,1.6,5,10,Partially cloudy,partly-cloudy-day,Summer,12.294561124594084,289.0,438.0,508.0,20.9,21.1,20.2,45.53,46.97,51.54,475.0,766.0,459.0,82.1,71.1,74.1
