Datetime,generation,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,season,sunheight
2022-06-22 06:00:00,1.0,11.5,11.5,9.3,86.35,0.0,0.0,0.0,0.0,49.0,18.4,306.0,1008.3,91.1,10.0,1,0.0,0,10,Overcast,cloudy,Summer,33.07153241155716
2022-06-22 07:00:00,8.0,12.0,12.0,8.9,81.32,0.0,0.0,0.0,0.0,47.9,25.2,298.9,1007.0,91.1,24.1,7,0.0,0,10,Overcast,cloudy,Summer,42.53025245783051
2022-06-22 08:00:00,8.0,12.3,12.3,9.3,81.91,0.0,0.0,0.0,0.0,50.8,27.4,303.6,1008.0,100.0,24.1,19,0.1,0,10,Overcast,cloudy,Summer,51.357737389816535
2022-06-22 09:00:00,127.0,13.9,13.9,9.7,76.01,0.555,100.0,0.0,0.0,54.0,14.4,311.0,1009.4,91.1,15.5,23,0.1,0,10,"Rain, Overcast",rain,Summer,58.62383581841659
2022-06-22 10:00:00,293.0,14.3,14.3,10.2,76.37,0.0,0.0,0.0,0.0,53.6,25.9,316.4,1009.0,94.5,24.1,28,0.1,0,10,Overcast,cloudy,Summer,62.766268430264034
2022-06-22 11:00:00,622.0,16.0,16.0,9.9,67.1,0.0,0.0,0.0,0.0,50.4,25.6,322.1,1009.0,85.0,24.1,52,0.2,1,10,Partially cloudy,partly-cloudy-day,Summer,62.22542827517174
2022-06-22 12:00:00,642.0,18.5,18.5,10.4,59.08,0.0,0.0,0.0,0.0,56.9,19.6,304.0,1009.4,60.0,15.5,562,2.0,6,10,Partially cloudy,partly-cloudy-day,Summer,57.244422237582754
2022-06-22 13:00:00,563.0,18.9,18.9,10.4,57.77,0.0,0.0,0.0,0.0,56.2,27.0,317.3,1009.0,53.2,17.3,877,3.2,9,10,Partially cloudy,partly-cloudy-day,Summer,49.528298794059616
2022-06-22 14:00:00,508.0,20.2,20.2,9.9,51.54,0.0,0.0,0.0,0.0,50.8,26.6,323.5,1009.0,74.1,24.1,459,1.7,5,10,Partially cloudy,partly-cloudy-day,Summer,40.50218084728278
2022-06-22 15:00:00,438.0,21.1,21.1,9.3,46.97,0.0,0.0,0.0,0.0,52.6,19.6,326.0,1009.5,71.1,32.2,766,2.8,8,10,Partially cloudy,partly-cloudy-day,Summer,30.9852344772072
